VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5264,16,27,0,98004.0,2021,39,100,0,1,0.0,0.0,48.0,139830645,270,73,53033024002.0
11378,16,377,0,98106.0,2022,28,71,0,1,0.0,0.0,34.0,152663654,347,57,53033011401.0
1212,16,198,0,98034.0,2017,8,159,1,0,53.0,0.0,45.0,205171060,285,73,53033021903.0
6943,26,34,0,98391.0,2024,38,141,0,1,0.0,0.0,31.0,270510348,263,73,53053070208.0
4230,17,185,0,98342.0,2019,39,97,0,0,220.0,0.0,23.0,118213070,403,72,53035940000.0
6002,16,376,0,98168.0,2023,39,100,0,1,0.0,0.0,33.0,244292548,338,57,53033027300.0
6034,26,422,0,98402.0,2023,39,100,0,1,0.0,0.0,27.0,260944169,380,19,53053061601.0
1968,16,377,0,98115.0,2016,31,92,0,0,84.0,0.0,43.0,245005197,323,57,53033004301.0
2381,16,377,0,98122.0,2022,9,110,1,0,32.0,0.0,43.0,264280201,320,57,53033008600.0
2323,26,34,0,98391.0,2022,9,110,1,0,32.0,0.0,31.0,218177879,263,73,53053070208.0
764,16,377,0,98104.0,2018,8,21,0,0,238.0,0.0,43.0,149642412,335,57,53033008500.0
6020,30,230,0,98087.0,2025,39,100,0,1,0.0,0.0,21.0,276479892,305,72,53061051804.0
120,23,358,0,98849.0,2024,19,161,1,2,21.0,0.0,7.0,264323153,129,68,53047970500.0
8635,26,159,0,98338.0,2023,20,103,1,0,33.0,0.0,2.0,230042893,310,73,53053073118.0
13500,16,387,0,98177.0,2024,1,152,1,0,33.0,0.0,32.0,265810317,355,57,53033020800.0
10224,16,77,0,98004.0,2022,2,132,0,1,0.0,0.0,48.0,180704919,270,73,53033024100.0
4195,30,134,0,98208.0,2024,39,97,0,1,0.0,0.0,44.0,270967483,269,72,53061041607.0
6035,26,153,0,98332.0,2024,39,100,0,1,0.0,0.0,26.0,272623613,424,19,53053072509.0
1811,5,450,0,98665.0,2013,31,92,0,0,75.0,0.0,49.0,153215856,443,36,53011041008.0
3988,30,134,0,98208.0,2018,5,163,1,2,13.0,0.0,21.0,264608312,269,72,53061041605.0
1324,33,298,0,98512.0,2018,8,159,1,0,53.0,0.0,35.0,198635685,499,72,53067011810.0
4583,26,210,0,98499.0,2016,39,98,0,0,210.0,0.0,28.0,211342792,402,19,53053071901.0
5998,16,35,0,98011.0,2023,39,100,0,1,0.0,0.0,1.0,245492740,278,73,53033022001.0
2101,30,230,0,98087.0,2023,31,92,0,1,0.0,0.0,21.0,236254336,305,72,53061041816.0
6018,16,351,0,98059.0,2023,39,100,0,1,0.0,0.0,5.0,236517039,260,73,53033025104.0
5749,16,350,0,98053.0,2024,35,123,0,1,0.0,0.0,45.0,270191498,238,73,53033032332.0
5958,33,439,0,98501.0,2024,39,100,0,1,0.0,0.0,22.0,264275945,492,72,53067010802.0
2106,16,377,0,98122.0,2025,31,92,0,1,0.0,0.0,37.0,272852534,320,57,53033008600.0
5268,16,376,0,98168.0,2021,39,100,0,1,0.0,0.0,33.0,181585428,338,57,53033027300.0
6030,33,298,0,98512.0,2023,39,100,0,1,0.0,0.0,35.0,244806005,499,72,53067011810.0
5933,26,341,0,98374.0,2023,39,100,0,1,0.0,0.0,2.0,259820788,303,73,53053073129.0
8525,16,198,0,98033.0,2020,20,103,0,0,239.0,0.0,48.0,153982097,280,73,53033022702.0
3166,16,377,0,98101.0,2021,13,101,0,1,0.0,0.0,43.0,183262502,342,57,53033008102.0
7195,30,119,0,98026.0,2024,17,91,0,1,0.0,0.0,21.0,260539478,325,72,53061042005.0
7046,26,12,0,98303.0,2024,41,129,1,0,42.0,0.0,28.0,272790458,454,19,53053072603.0
969,16,377,0,98178.0,2023,8,20,0,1,0.0,0.0,37.0,244403694,292,73,53033026102.0
12918,16,377,0,98109.0,2023,44,164,0,1,0.0,0.0,36.0,245837924,345,57,53033006702.0
8812,16,377,0,98126.0,2025,20,148,1,0,34.0,0.0,34.0,276975184,357,57,53033011402.0
5825,16,192,0,98028.0,2025,39,99,0,1,0.0,0.0,46.0,275417369,296,73,53033021702.0
11617,16,27,0,98006.0,2024,33,151,0,1,0.0,0.0,41.0,262664769,254,73,53033025007.0
5972,16,377,0,98115.0,2025,39,100,0,1,0.0,0.0,46.0,274677644,323,57,53033002600.0
13096,16,377,0,98119.0,2024,44,166,1,0,32.0,0.0,36.0,273808314,356,57,53033006900.0
5291,16,377,0,98119.0,2020,39,100,0,0,291.0,0.0,36.0,131514694,356,57,53033005902.0
1932,16,377,0,98125.0,2018,31,92,0,0,151.0,0.0,46.0,210048359,315,57,53033000601.0
6058,26,112,0,98327.0,2023,39,100,0,1,0.0,0.0,28.0,259112542,439,73,53053072802.0
8146,30,243,0,98271.0,2024,20,54,0,1,0.0,0.0,38.0,268442429,262,72,53061053102.0
10972,16,252,0,98040.0,2024,5,78,0,1,0.0,0.0,41.0,265640945,282,73,53033024400.0
1948,16,351,0,98059.0,2021,31,92,0,1,0.0,0.0,5.0,149115508,260,73,53033031904.0
4369,16,198,0,98034.0,2013,39,98,0,0,208.0,69900.0,1.0,172528898,285,73,53033022203.0
6002,33,203,0,98513.0,2023,39,100,0,1,0.0,0.0,22.0,245718616,480,72,53067011623.0
855,16,377,0,98103.0,2017,8,21,0,0,238.0,0.0,36.0,305286418,349,57,53033001800.0
4128,16,350,0,98052.0,2018,39,97,0,0,215.0,0.0,48.0,344186461,257,73,53033032325.0
5476,16,377,0,98117.0,2025,35,124,0,1,0.0,0.0,36.0,276999390,363,57,53033001702.0
4115,30,395,0,98290.0,2023,39,97,0,1,0.0,0.0,39.0,259581325,250,72,53061052203.0
9390,16,252,0,98040.0,2023,27,46,0,1,0.0,0.0,41.0,261824048,282,73,53033024500.0
12370,26,34,0,98391.0,2025,32,112,0,1,0.0,0.0,31.0,272691121,263,73,53053070208.0
4792,26,341,0,98374.0,2015,39,98,0,0,208.0,0.0,25.0,1211486,303,73,53053073123.0
716,33,439,0,98501.0,2024,13,58,0,1,0.0,0.0,35.0,271753436,492,72,53067011720.0
8958,16,377,0,98103.0,2022,32,117,0,1,0.0,0.0,43.0,216535497,349,57,53033004902.0
6661,16,35,0,98011.0,2018,41,114,1,2,25.0,0.0,1.0,252296348,278,73,53033021804.0
12437,16,252,0,98040.0,2017,44,166,1,2,14.0,0.0,41.0,170532869,282,73,53033024500.0
4671,5,462,0,98671.0,2023,39,98,0,1,0.0,0.0,18.0,268251378,348,29,53011040605.0
5282,16,252,0,98040.0,2021,39,100,0,1,0.0,0.0,41.0,172125222,282,73,53033024500.0
6018,16,140,0,98023.0,2023,39,100,0,1,0.0,0.0,30.0,240433175,353,73,53033030304.0
4858,33,298,0,98513.0,2015,39,98,0,0,208.0,0.0,2.0,252848781,480,72,53067011624.0
4197,16,27,0,98004.0,2018,39,97,0,0,215.0,0.0,48.0,477448982,270,73,53033023805.0
6003,3,214,0,98826.0,2024,39,100,0,1,0.0,0.0,12.0,269327509,184,66,53007960201.0
1801,16,377,0,98104.0,2015,31,92,0,0,84.0,0.0,43.0,188428537,335,57,53033008500.0
6003,16,192,0,98028.0,2024,39,100,0,1,0.0,0.0,46.0,266856355,296,73,53033022101.0
4197,30,206,0,98258.0,2018,39,97,0,0,215.0,0.0,44.0,209736698,245,72,53061052603.0
5387,16,27,0,98004.0,2023,35,124,0,1,0.0,0.0,41.0,253363162,270,73,53033023601.0
6034,14,289,0,98277.0,2023,39,100,0,1,0.0,0.0,10.0,269335202,445,72,53029970900.0
877,16,377,0,98117.0,2023,8,21,0,1,0.0,0.0,36.0,252616619,363,57,53033001600.0
4092,33,298,0,98513.0,2018,39,97,0,0,215.0,0.0,2.0,211383511,480,72,53067012332.0
